C:\mbw\results\A05_578.txt												
RUN INFORMATION:												
================												
Counting protocol no:  5                                  Thu  9-Nov-2023  4:14												
Name: 3H_2MIN												
CPM normalization protocol no: 91												
												
												
COLUMNS:												
========												
 	SAMPLE	POS	CCPM1	CCPM1%								
 	Unk_1	A01	1305	4.7								
 	Unk_2	A02	32	25.3								
 	Unk_3	A03	72	17								
 	Unk_4	A04	135	12.6								
 	Unk_5	A05	281	8.9								
 	Unk_6	A06	577	6.5								
 	Unk_7	A07	858	5.6								
 	Unk_8	A08	1178	4.9								
 	Unk_9	A09	1303	4.7								
 	Unk_10	A10	1407	4.6								
 	Unk_11	A11	1314	4.7								
 	Unk_12	A12	1310	4.7								
 	Unk_13	B01	1329	4.7								
 	Unk_14	B02	33	25.1								
 	Unk_15	B03	68	17.5								
 	Unk_16	B04	131	12.7								
 	Unk_17	B05	266	9.2								
 	Unk_18	B06	540	6.7								
 	Unk_19	B07	907	5.4								
 	Unk_20	B08	1219	4.9								
 	Unk_21	B09	1267	4.8								
 	Unk_22	B10	1332	4.7								
 	Unk_23	B11	1375	4.7								
 	Unk_24	B12	1227	4.8								
 	Unk_25	C01	1403	4.6								
 	Unk_26	C02	38	23.4								
 	Unk_27	C03	191	10.7								
 	Unk_28	C04	466	7.1								
 	Unk_29	C05	820	5.7								
 	Unk_30	C06	1187	4.9								
 	Unk_31	C07	1367	4.7								
 	Unk_32	C08	1370	4.7								
 	Unk_33	C09	1386	4.6								
 	Unk_34	C10	1319	4.7								
 	Unk_35	C11	1388	4.6								
 	Unk_36	C12	1222	4.9								
 	Unk_37	D01	1419	4.6								
 	Unk_38	D02	31	26								
 	Unk_39	D03	214	10.1								
 	Unk_40	D04	439	7.3								
 	Unk_41	D05	778	5.8								
 	Unk_42	D06	1153	5								
 	Unk_43	D07	1395	4.6								
 	Unk_44	D08	1441	4.6								
 	Unk_45	D09	1427	4.6								
 	Unk_46	D10	1438	4.6								
 	Unk_47	D11	1375	4.7								
 	Unk_48	D12	1311	4.7								
 	Unk_49	E01	1338	4.7								
 	Unk_50	E02	33	24.9								
 	Unk_51	E03	83	15.9								
 	Unk_52	E04	158	11.6								
 	Unk_53	E05	367	7.8								
 	Unk_54	E06	687	6								
 	Unk_55	E07	1069	5								
 	Unk_56	E08	1263	4.7								
 	Unk_57	E09	1379	4.6								
 	Unk_58	E10	1368	4.6								
 	Unk_59	E11	1401	4.6								
 	Unk_60	E12	1311	4.7								
 	Unk_61	F01	1384	4.6								
 	Unk_62	F02	32	25.3								
 	Unk_63	F03	95	14.8								
 	Unk_64	F04	153	11.8								
 	Unk_65	F05	350	8								
 	Unk_66	F06	702	5.9								
 	Unk_67	F07	1012	5.1								
 	Unk_68	F08	1273	4.7								
 	Unk_69	F09	1366	4.6								
 	Unk_70	F10	1385	4.6								
 	Unk_71	F11	1328	4.7								
 	Unk_72	F12	1257	4.8								
 	Unk_73	G01	1397	4.6								
 	Unk_74	G02	33	24.9								
 	Unk_75	G03	143	12.2								
 	Unk_76	G04	251	9.3								
 	Unk_77	G05	481	6.9								
 	Unk_78	G06	892	5.4								
 	Unk_79	G07	1144	4.9								
 	Unk_80	G08	1422	4.6								
